country,ISO2,ISO3,minage_light_leg_95,minage_light_leg_96,minage_light_leg_97,minage_light_leg_98,minage_light_leg_99,minage_light_leg_00,minage_light_leg_01,minage_light_leg_02,minage_light_leg_03,minage_light_leg_04,minage_light_leg_05,minage_light_leg_06,minage_light_leg_07,minage_light_leg_08,minage_light_leg_09,minage_light_leg_10,minage_light_leg_11,minage_light_leg_12,minage_light_age_95,minage_light_age_96,minage_light_age_97,minage_light_age_98,minage_light_age_99,minage_light_age_00,minage_light_age_01,minage_light_age_02,minage_light_age_03,minage_light_age_04,minage_light_age_05,minage_light_age_06,minage_light_age_07,minage_light_age_08,minage_light_age_09,minage_light_age_10,minage_light_age_11,minage_light_age_12,minage_gen_leg_95,minage_gen_leg_96,minage_gen_leg_97,minage_gen_leg_98,minage_gen_leg_99,minage_gen_leg_00,minage_gen_leg_01,minage_gen_leg_02,minage_gen_leg_03,minage_gen_leg_04,minage_gen_leg_05,minage_gen_leg_06,minage_gen_leg_07,minage_gen_leg_08,minage_gen_leg_09,minage_gen_leg_10,minage_gen_leg_11,minage_gen_leg_12,minage_gen_age_95,minage_gen_age_96,minage_gen_age_97,minage_gen_age_98,minage_gen_age_99,minage_gen_age_00,minage_gen_age_01,minage_gen_age_02,minage_gen_age_03,minage_gen_age_04,minage_gen_age_05,minage_gen_age_06,minage_gen_age_07,minage_gen_age_08,minage_gen_age_09,minage_gen_age_10,minage_gen_age_11,minage_gen_age_12,minage_gen_parent_age_95,minage_gen_parent_age_96,minage_gen_parent_age_97,minage_gen_parent_age_98,minage_gen_parent_age_99,minage_gen_parent_age_00,minage_gen_parent_age_01,minage_gen_parent_age_02,minage_gen_parent_age_03,minage_gen_parent_age_04,minage_gen_parent_age_05,minage_gen_parent_age_06,minage_gen_parent_age_07,minage_gen_parent_age_08,minage_gen_parent_age_09,minage_gen_parent_age_10,minage_gen_parent_age_11,minage_gen_parent_age_12,minage_gen_except_age_95,minage_gen_except_age_96,minage_gen_except_age_97,minage_gen_except_age_98,minage_gen_except_age_99,minage_gen_except_age_00,minage_gen_except_age_01,minage_gen_except_age_02,minage_gen_except_age_03,minage_gen_except_age_04,minage_gen_except_age_05,minage_gen_except_age_06,minage_gen_except_age_07,minage_gen_except_age_08,minage_gen_except_age_09,minage_gen_except_age_10,minage_gen_except_age_11,minage_gen_except_age_12,restweek_age_95,restweek_age_96,restweek_age_97,restweek_age_98,restweek_age_99,restweek_age_00,restweek_age_01,restweek_age_02,restweek_age_03,restweek_age_04,restweek_age_05,restweek_age_06,restweek_age_07,restweek_age_08,restweek_age_09,restweek_age_10,restweek_age_11,restweek_age_12,restweek_hrs_95,restweek_hrs_96,restweek_hrs_97,restweek_hrs_98,restweek_hrs_99,restweek_hrs_00,restweek_hrs_01,restweek_hrs_02,restweek_hrs_03,restweek_hrs_04,restweek_hrs_05,restweek_hrs_06,restweek_hrs_07,restweek_hrs_08,restweek_hrs_09,restweek_hrs_10,restweek_hrs_11,restweek_hrs_12,schweek_wrkhrs_3_95,schweek_wrkhrs_3_96,schweek_wrkhrs_3_97,schweek_wrkhrs_3_98,schweek_wrkhrs_3_99,schweek_wrkhrs_3_00,schweek_wrkhrs_3_01,schweek_wrkhrs_3_02,schweek_wrkhrs_3_03,schweek_wrkhrs_3_04,schweek_wrkhrs_3_05,schweek_wrkhrs_3_06,schweek_wrkhrs_3_07,schweek_wrkhrs_3_08,schweek_wrkhrs_3_09,schweek_wrkhrs_3_10,schweek_wrkhrs_3_11,schweek_wrkhrs_3_12,schweek_wrkhrs_2_95,schweek_wrkhrs_2_96,schweek_wrkhrs_2_97,schweek_wrkhrs_2_98,schweek_wrkhrs_2_99,schweek_wrkhrs_2_00,schweek_wrkhrs_2_01,schweek_wrkhrs_2_02,schweek_wrkhrs_2_03,schweek_wrkhrs_2_04,schweek_wrkhrs_2_05,schweek_wrkhrs_2_06,schweek_wrkhrs_2_07,schweek_wrkhrs_2_08,schweek_wrkhrs_2_09,schweek_wrkhrs_2_10,schweek_wrkhrs_2_11,schweek_wrkhrs_2_12,schweek_wrkhrs_1_95,schweek_wrkhrs_1_96,schweek_wrkhrs_1_97,schweek_wrkhrs_1_98,schweek_wrkhrs_1_99,schweek_wrkhrs_1_00,schweek_wrkhrs_1_01,schweek_wrkhrs_1_02,schweek_wrkhrs_1_03,schweek_wrkhrs_1_04,schweek_wrkhrs_1_05,schweek_wrkhrs_1_06,schweek_wrkhrs_1_07,schweek_wrkhrs_1_08,schweek_wrkhrs_1_09,schweek_wrkhrs_1_10,schweek_wrkhrs_1_11,schweek_wrkhrs_1_12,schday_wrkhrs_3_95,schday_wrkhrs_3_96,schday_wrkhrs_3_97,schday_wrkhrs_3_98,schday_wrkhrs_3_99,schday_wrkhrs_3_00,schday_wrkhrs_3_01,schday_wrkhrs_3_02,schday_wrkhrs_3_03,schday_wrkhrs_3_04,schday_wrkhrs_3_05,schday_wrkhrs_3_06,schday_wrkhrs_3_07,schday_wrkhrs_3_08,schday_wrkhrs_3_09,schday_wrkhrs_3_10,schday_wrkhrs_3_11,schday_wrkhrs_3_12,schday_wrkhrs_2_95,schday_wrkhrs_2_96,schday_wrkhrs_2_97,schday_wrkhrs_2_98,schday_wrkhrs_2_99,schday_wrkhrs_2_00,schday_wrkhrs_2_01,schday_wrkhrs_2_02,schday_wrkhrs_2_03,schday_wrkhrs_2_04,schday_wrkhrs_2_05,schday_wrkhrs_2_06,schday_wrkhrs_2_07,schday_wrkhrs_2_08,schday_wrkhrs_2_09,schday_wrkhrs_2_10,schday_wrkhrs_2_11,schday_wrkhrs_2_12,schday_wrkhrs_1_95,schday_wrkhrs_1_96,schday_wrkhrs_1_97,schday_wrkhrs_1_98,schday_wrkhrs_1_99,schday_wrkhrs_1_00,schday_wrkhrs_1_01,schday_wrkhrs_1_02,schday_wrkhrs_1_03,schday_wrkhrs_1_04,schday_wrkhrs_1_05,schday_wrkhrs_1_06,schday_wrkhrs_1_07,schday_wrkhrs_1_08,schday_wrkhrs_1_09,schday_wrkhrs_1_10,schday_wrkhrs_1_11,schday_wrkhrs_1_12,maxhrs_week_3_95,maxhrs_week_3_96,maxhrs_week_3_97,maxhrs_week_3_98,maxhrs_week_3_99,maxhrs_week_3_00,maxhrs_week_3_01,maxhrs_week_3_02,maxhrs_week_3_03,maxhrs_week_3_04,maxhrs_week_3_05,maxhrs_week_3_06,maxhrs_week_3_07,maxhrs_week_3_08,maxhrs_week_3_09,maxhrs_week_3_10,maxhrs_week_3_11,maxhrs_week_3_12,maxhrs_day_3_95,maxhrs_day_3_96,maxhrs_day_3_97,maxhrs_day_3_98,maxhrs_day_3_99,maxhrs_day_3_00,maxhrs_day_3_01,maxhrs_day_3_02,maxhrs_day_3_03,maxhrs_day_3_04,maxhrs_day_3_05,maxhrs_day_3_06,maxhrs_day_3_07,maxhrs_day_3_08,maxhrs_day_3_09,maxhrs_day_3_10,maxhrs_day_3_11,maxhrs_day_3_12,maxhrs_week_2_95,maxhrs_week_2_96,maxhrs_week_2_97,maxhrs_week_2_98,maxhrs_week_2_99,maxhrs_week_2_00,maxhrs_week_2_01,maxhrs_week_2_02,maxhrs_week_2_03,maxhrs_week_2_04,maxhrs_week_2_05,maxhrs_week_2_06,maxhrs_week_2_07,maxhrs_week_2_08,maxhrs_week_2_09,maxhrs_week_2_10,maxhrs_week_2_11,maxhrs_week_2_12,maxhrs_day_2_95,maxhrs_day_2_96,maxhrs_day_2_97,maxhrs_day_2_98,maxhrs_day_2_99,maxhrs_day_2_00,maxhrs_day_2_01,maxhrs_day_2_02,maxhrs_day_2_03,maxhrs_day_2_04,maxhrs_day_2_05,maxhrs_day_2_06,maxhrs_day_2_07,maxhrs_day_2_08,maxhrs_day_2_09,maxhrs_day_2_10,maxhrs_day_2_11,maxhrs_day_2_12,maxhrs_week_1_95,maxhrs_week_1_96,maxhrs_week_1_97,maxhrs_week_1_98,maxhrs_week_1_99,maxhrs_week_1_00,maxhrs_week_1_01,maxhrs_week_1_02,maxhrs_week_1_03,maxhrs_week_1_04,maxhrs_week_1_05,maxhrs_week_1_06,maxhrs_week_1_07,maxhrs_week_1_08,maxhrs_week_1_09,maxhrs_week_1_10,maxhrs_week_1_11,maxhrs_week_1_12,maxhrs_day_1_95,maxhrs_day_1_96,maxhrs_day_1_97,maxhrs_day_1_98,maxhrs_day_1_99,maxhrs_day_1_00,maxhrs_day_1_01,maxhrs_day_1_02,maxhrs_day_1_03,maxhrs_day_1_04,maxhrs_day_1_05,maxhrs_day_1_06,maxhrs_day_1_07,maxhrs_day_1_08,maxhrs_day_1_09,maxhrs_day_1_10,maxhrs_day_1_11,maxhrs_day_1_12,maxage_hrsprotec_3_95,maxage_hrsprotec_3_96,maxage_hrsprotec_3_97,maxage_hrsprotec_3_98,maxage_hrsprotec_3_99,maxage_hrsprotec_3_00,maxage_hrsprotec_3_01,maxage_hrsprotec_3_02,maxage_hrsprotec_3_03,maxage_hrsprotec_3_04,maxage_hrsprotec_3_05,maxage_hrsprotec_3_06,maxage_hrsprotec_3_07,maxage_hrsprotec_3_08,maxage_hrsprotec_3_09,maxage_hrsprotec_3_10,maxage_hrsprotec_3_11,maxage_hrsprotec_3_12,minage_hrsprotec_3_95,minage_hrsprotec_3_96,minage_hrsprotec_3_97,minage_hrsprotec_3_98,minage_hrsprotec_3_99,minage_hrsprotec_3_00,minage_hrsprotec_3_01,minage_hrsprotec_3_02,minage_hrsprotec_3_03,minage_hrsprotec_3_04,minage_hrsprotec_3_05,minage_hrsprotec_3_06,minage_hrsprotec_3_07,minage_hrsprotec_3_08,minage_hrsprotec_3_09,minage_hrsprotec_3_10,minage_hrsprotec_3_11,minage_hrsprotec_3_12,maxage_hrsprotec_2_95,maxage_hrsprotec_2_96,maxage_hrsprotec_2_97,maxage_hrsprotec_2_98,maxage_hrsprotec_2_99,maxage_hrsprotec_2_00,maxage_hrsprotec_2_01,maxage_hrsprotec_2_02,maxage_hrsprotec_2_03,maxage_hrsprotec_2_04,maxage_hrsprotec_2_05,maxage_hrsprotec_2_06,maxage_hrsprotec_2_07,maxage_hrsprotec_2_08,maxage_hrsprotec_2_09,maxage_hrsprotec_2_10,maxage_hrsprotec_2_11,maxage_hrsprotec_2_12,minage_hrsprotec_2_95,minage_hrsprotec_2_96,minage_hrsprotec_2_97,minage_hrsprotec_2_98,minage_hrsprotec_2_99,minage_hrsprotec_2_00,minage_hrsprotec_2_01,minage_hrsprotec_2_02,minage_hrsprotec_2_03,minage_hrsprotec_2_04,minage_hrsprotec_2_05,minage_hrsprotec_2_06,minage_hrsprotec_2_07,minage_hrsprotec_2_08,minage_hrsprotec_2_09,minage_hrsprotec_2_10,minage_hrsprotec_2_11,minage_hrsprotec_2_12,maxage_hrsprotec_1_95,maxage_hrsprotec_1_96,maxage_hrsprotec_1_97,maxage_hrsprotec_1_98,maxage_hrsprotec_1_99,maxage_hrsprotec_1_00,maxage_hrsprotec_1_01,maxage_hrsprotec_1_02,maxage_hrsprotec_1_03,maxage_hrsprotec_1_04,maxage_hrsprotec_1_05,maxage_hrsprotec_1_06,maxage_hrsprotec_1_07,maxage_hrsprotec_1_08,maxage_hrsprotec_1_09,maxage_hrsprotec_1_10,maxage_hrsprotec_1_11,maxage_hrsprotec_1_12,minage_hrsprotec_1_95,minage_hrsprotec_1_96,minage_hrsprotec_1_97,minage_hrsprotec_1_98,minage_hrsprotec_1_99,minage_hrsprotec_1_00,minage_hrsprotec_1_01,minage_hrsprotec_1_02,minage_hrsprotec_1_03,minage_hrsprotec_1_04,minage_hrsprotec_1_05,minage_hrsprotec_1_06,minage_hrsprotec_1_07,minage_hrsprotec_1_08,minage_hrsprotec_1_09,minage_hrsprotec_1_10,minage_hrsprotec_1_11,minage_hrsprotec_1_12,hrsprotec_leg_95,hrsprotec_leg_96,hrsprotec_leg_97,hrsprotec_leg_98,hrsprotec_leg_99,hrsprotec_leg_00,hrsprotec_leg_01,hrsprotec_leg_02,hrsprotec_leg_03,hrsprotec_leg_04,hrsprotec_leg_05,hrsprotec_leg_06,hrsprotec_leg_07,hrsprotec_leg_08,hrsprotec_leg_09,hrsprotec_leg_10,hrsprotec_leg_11,hrsprotec_leg_12,night_proh_1_12,night_proh_1_11,night_proh_1_10,night_proh_1_09,night_proh_1_08,night_proh_1_07,night_proh_1_06,night_proh_1_05,night_proh_1_04,night_proh_1_03,night_proh_1_02,night_proh_1_01,night_proh_1_00,night_proh_1_99,night_proh_1_98,night_proh_1_97,night_proh_1_96,night_proh_1_95,night_proh_2_12,night_proh_2_11,night_proh_2_10,night_proh_2_09,night_proh_2_08,night_proh_2_07,night_proh_2_06,night_proh_2_05,night_proh_2_04,night_proh_2_03,night_proh_2_02,night_proh_2_01,night_proh_2_00,night_proh_2_99,night_proh_2_98,night_proh_2_97,night_proh_2_96,night_proh_2_95,night_proh_3_12,night_proh_3_11,night_proh_3_10,night_proh_3_09,night_proh_3_08,night_proh_3_07,night_proh_3_06,night_proh_3_05,night_proh_3_04,night_proh_3_03,night_proh_3_02,night_proh_3_01,night_proh_3_00,night_proh_3_99,night_proh_3_98,night_proh_3_97,night_proh_3_96,night_proh_3_95,schhrs_proh_1_12,schhrs_proh_1_11,schhrs_proh_1_10,schhrs_proh_1_09,schhrs_proh_1_08,schhrs_proh_1_07,schhrs_proh_1_06,schhrs_proh_1_05,schhrs_proh_1_04,schhrs_proh_1_03,schhrs_proh_1_02,schhrs_proh_1_01,schhrs_proh_1_00,schhrs_proh_1_99,schhrs_proh_1_98,schhrs_proh_1_97,schhrs_proh_1_96,schhrs_proh_1_95,schhrs_proh_2_12,schhrs_proh_2_11,schhrs_proh_2_10,schhrs_proh_2_09,schhrs_proh_2_08,schhrs_proh_2_07,schhrs_proh_2_06,schhrs_proh_2_05,schhrs_proh_2_04,schhrs_proh_2_03,schhrs_proh_2_02,schhrs_proh_2_01,schhrs_proh_2_00,schhrs_proh_2_99,schhrs_proh_2_98,schhrs_proh_2_97,schhrs_proh_2_96,schhrs_proh_2_95,schhrs_proh_3_12,schhrs_proh_3_11,schhrs_proh_3_10,schhrs_proh_3_09,schhrs_proh_3_08,schhrs_proh_3_07,schhrs_proh_3_06,schhrs_proh_3_05,schhrs_proh_3_04,schhrs_proh_3_03,schhrs_proh_3_02,schhrs_proh_3_01,schhrs_proh_3_00,schhrs_proh_3_99,schhrs_proh_3_98,schhrs_proh_3_97,schhrs_proh_3_96,schhrs_proh_3_95,overtime_proh_1_12,overtime_proh_1_11,overtime_proh_1_10,overtime_proh_1_09,overtime_proh_1_08,overtime_proh_1_07,overtime_proh_1_06,overtime_proh_1_05,overtime_proh_1_04,overtime_proh_1_03,overtime_proh_1_02,overtime_proh_1_01,overtime_proh_1_00,overtime_proh_1_99,overtime_proh_1_98,overtime_proh_1_97,overtime_proh_1_96,overtime_proh_1_95,overtime_proh_2_12,overtime_proh_2_11,overtime_proh_2_10,overtime_proh_2_09,overtime_proh_2_08,overtime_proh_2_07,overtime_proh_2_06,overtime_proh_2_05,overtime_proh_2_04,overtime_proh_2_03,overtime_proh_2_02,overtime_proh_2_01,overtime_proh_2_00,overtime_proh_2_99,overtime_proh_2_98,overtime_proh_2_97,overtime_proh_2_96,overtime_proh_2_95,overtime_proh_3_12,overtime_proh_3_11,overtime_proh_3_10,overtime_proh_3_09,overtime_proh_3_08,overtime_proh_3_07,overtime_proh_3_06,overtime_proh_3_05,overtime_proh_3_04,overtime_proh_3_03,overtime_proh_3_02,overtime_proh_3_01,overtime_proh_3_00,overtime_proh_3_99,overtime_proh_3_98,overtime_proh_3_97,overtime_proh_3_96,overtime_proh_3_95
"Armenia","AM","ARM","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","No","No","No","No","No","No","Yes","Yes","Yes",-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,14,14,14,"Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Yes, with exceptions","Yes, with exceptions","Yes, with exceptions","Yes, with exceptions","Yes, with exceptions","Yes, with exceptions","Yes","Yes","Yes",-9,-9,-9,-9,-9,-9,-9,-9,-9,16,16,16,16,16,16,16,16,16,-9,-9,-9,-9,-9,-9,-9,-9,-9,14,14,14,14,14,14,,,,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,-9,-9,-9,-9,-9,-9,-9,-9,-9,17,17,17,17,17,17,17,17,17,-9,-9,-9,-9,-9,-9,-9,-9,-9,48,48,48,48,48,48,48,48,48,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,-9,-9,-9,-9,-9,-9,-9,-9,-9,99,99,99,99,99,99,99,99,99,-9,-9,-9,-9,-9,-9,-9,-9,-9,99,99,99,99,99,99,99,99,99,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,-9,-9,-9,-9,-9,-9,-9,-9,-9,99,99,99,99,99,99,99,99,99,-9,-9,-9,-9,-9,-9,-9,-9,-9,99,99,99,99,99,99,99,99,99,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,-9,-9,-9,-9,-9,-9,-9,-9,-9,36,36,36,36,36,36,36,36,36,-9,-9,-9,-9,-9,-9,-9,-9,-9,99,99,99,99,99,99,99,99,99,-9,-9,-9,-9,-9,-9,-9,-9,-9,24,24,24,24,24,24,24,24,24,-9,-9,-9,-9,-9,-9,-9,-9,-9,99,99,99,99,99,99,99,99,99,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,-9,-9,-9,-9,-9,-9,-9,-9,-9,17,17,17,17,17,17,17,17,17,-9,-9,-9,-9,-9,-9,-9,-9,-9,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,99,99,99,99,99,99,99,99,99,14,14,14,14,14,14,14,14,14,"Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine",,,,,,,,,,"Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","No","No","No","No","No","No","No","No","No","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","No","No","No","No","No","No","No","No","No","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine",,,,,,,,,,"Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine",,,,,,,,,,"Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine","Unable to determine"
